crust_thick_h0,crust_thick_h03,crust_thick_h57,ra_h0,ra_h03,ra_h57,rb_h0,rb_h03,rb_h57,erupt_rate_h0,erupt_rate_h03,erupt_rate_h57,erupt_comp_h0,erupt_comp_h03,erupt_comp_h57,composition
16.300580333717,89.6558229592409,89.6567356006187,1375688.23174748,1574004.5048014,1617575.09270687,1166635.38891859,1434903.77884525,1586431.34847013,1.34870341465462,1.48353350988523,1.48354623747112,0.724394287816607,1,1,0.313131313131313
16.6909849715334,89.6562258674646,89.661369106107,1366263.27580426,1566947.06513756,1610251.69877237,1159401.93380266,1428648.64471508,1579255.68444399,1.35620862521143,1.48354705947571,1.48355346281665,0.732076607820975,1,1,0.323232323232323
17.0964729499667,89.6579066529522,89.6293411105263,1356863.27468749,1559826.67948152,1602870.36563635,1152198.63529735,1422339.29118704,1572022.23567155,1.36346621016988,1.48356226157008,1.48345148512396,0.739555288068162,1,1,0.333333333333333
17.521503689967,89.6549992829625,89.6654184756312,1347488.12864765,1552636.85658889,1595427.74148264,1145023.19541489,1415967.24916681,1564731.28526916,1.37046849544237,1.48353409941152,1.48358573575745,0.746836319775411,1,1,0.343434343434343
17.9664746426551,89.6595305558245,89.6849448315254,1338130.96197202,1545381.3097023,1587901.08321799,1137873.67636945,1409542.41278424,1557357.50600164,1.37723665855467,1.48355098868202,1.48363699341302,0.753929497158962,1,1,0.353535353535354
18.4323531582114,89.6566346587591,89.676234374925,1328792.81343107,1538056.66814256,1580311.01263264,1130746.25317039,1403055.72102793,1549920.9241139,1.38376543149229,1.48354615926394,1.48361912918647,0.760842696348333,1,1,0.363636363636364
18.9270689855109,89.6565617996216,89.649310478434,1319467.17877137,1530663.30659821,1572655.3736965,1123639.30965287,1396510.99202774,1542419.56831843,1.39002492051037,1.48355406278244,1.48352533285365,0.767580755641192,1,1,0.373737373737374
19.4518835577169,89.6527148610176,89.617910601389,1310157.07720248,1523199.43399484,1564907.28531335,1116555.29045579,1389903.83865554,1534827.60421582,1.39602850481251,1.48353676893283,1.48341083897535,0.774146663855268,1,1,0.383838383838384
20.0162867932467,89.6521898424065,89.6599216577092,1300857.32960054,1515659.71333815,1557090.78137046,1109491.03727291,1383233.24757254,1527171.62123816,1.40174284055146,1.4835370272568,1.48355020979303,0.780545085159763,1,1,0.393939393939394
20.624233361226,89.6558472476436,89.6896652328036,1291564.2886823,1508043.88233103,1549200.02600836,1102442.20093087,1376499.26983291,1519442.77512919,1.40714830005967,1.48355392120657,1.4836669796864,0.786783549258602,1,1,0.404040404040404
21.28379857716,89.652156077508,89.6427643624817,1282277.52477346,1500351.20701669,1541210.79179821,1095408.99706205,1369695.45970017,1511614.60140019,1.41223641394365,1.48353203548155,1.48349034279267,0.792864082101865,1,1,0.414141414141414
22.009854645917,89.6513880836981,89.6731457068237,1272993.77253197,1492577.80572668,1533145.49787313,1088389.72052654,1362825.07447083,1503715.30836291,1.41694638552173,1.48353718174864,1.48361133900727,0.798787838019212,1,1,0.424242424242424
22.8116650484515,89.6531586920885,89.629278115489,1263712.18200797,1484723.24118911,1524998.35727373,1081384.31621516,1355885.04494639,1495733.05227944,1.42124636790331,1.48353083527391,1.48345194101987,0.804557151445124,1,1,0.434343434343434
