Temperature,Porosity,Solid_velocity,Darcy_flux,Plumbing_flux,Solid_composition,Plumbing_composition
1,0.242687719401882,-0.00732822289876523,0.00732822289876523,0,0,1.55116059663284e-317
1,0.243439132501618,-0.00747824447762616,0.00747824447762616,0,0,-2.41268460217464e-317
1,0.244186162789352,-0.00762815933761808,0.00762815933761808,0,0,1.29263383052737e-318
1,0.244928866072889,-0.00777796758095642,0.00777796758095642,0,0,0
1,0.24566729704324,-0.00792766931072274,0.00792766931072274,0,0,0
1,0.246401509307037,-0.00807726463083521,0.00807726463083521,0,0,1.29263383052737e-318
1,0.247131555413433,-0.00822675364602383,0.00822675364602383,0,0,0
1,0.247857486883915,-0.00837613646180262,0.00837613646180262,0,0,-2.41268460217464e-317
1,0.248579354237714,-0.00852541318444452,0.00852541318444452,0,0,-1.83833526514678e-317
1,0.249297207023661,-0.00867458392095962,0.00867458392095962,0,0,0
1,0.250011093837439,-0.00882364877906816,0.00882364877906816,0,0,2.28348445952457e-317
1,0.250721062354904,-0.0089726078671803,0.0089726078671803,0,0,5.70871114881143e-318
1,0.251427159350059,-0.00912146129437241,0.00912146129437241,0,0,0
1,0.252129430720785,-0.00927020917036663,0.00927020917036663,0,0,0
1,0.252827921510919,-0.00941885160550888,0.00941885160550888,0,0,1.26398592811891e-317
1,0.253522675932069,-0.00956738871075051,0.00956738871075051,0,0,0
1,0.254213737383311,-0.00971582059762668,0.00971582059762668,0,0,0
1,0.254901148474699,-0.00986414737823885,0.00986414737823885,0,0,-2.41268460217464e-317
1,0.255584951041407,-0.0100123691652361,0.0100123691652361,0,0,-1.24324307604391e-317
1,0.256265186170282,-0.0101604860717959,0.0101604860717959,0,0,0
1,0.256941894210217,-0.0103084982116095,0.0103084982116095,0,0,0
1,0.257615114797401,-0.010456405698862,0.010456405698862,0,0,0
1,0.258284886866919,-0.0106042086482183,0.0106042086482183,0,0,0
1,0.258951248672721,-0.010751907174806,0.010751907174806,0,0,0
1,0.259614237803785,-0.0108995013942,0.0108995013942,0,0,0
1,0.26027389119805,-0.0110469914224089,0.0110469914224089,0,0,0
1,0.260930245159482,-0.0111943773758576,0.0111943773758576,0,0,0
1,0.261583335373333,-0.0113416593713768,0.0113416593713768,0,0,-2.06821412884379e-317
1,0.262233196917111,-0.0114888375261853,0.0114888375261853,0,0,-2.06821412884379e-317
1,0.262879864279874,-0.0116359119578804,0.0116359119578804,0,0,-1.29263383052737e-318
