solidus_gam0pt1,solidus_gam0pt05,solidus_gam0pt01,liquidus
1348.81211366858,1282.28870116259,1230.07355026351,1477.83783783784
1347.62861381827,1281.25228941534,1230.0665443691,1477.56756756757
1346.45690171714,1280.23642033361,1230.06020580821,1477.2972972973
1345.29685995831,1279.24068674225,1230.05447101523,1477.02702702703
1344.14837230426,1278.26468953672,1230.04928247935,1476.75675675676
1343.01132367523,1277.30803752308,1230.04458816786,1476.48648648649
1341.88560013766,1276.37034726127,1230.04034100434,1476.21621621622
1340.77108889276,1275.45124291133,1230.03649839653,1475.94594594595
1339.66767826524,1274.55035608285,1230.03302180923,1475.67567567568
1338.57525769211,1273.66732568724,1230.02987637783,1475.40540540541
1337.49371771158,1272.80179779303,1230.02703055867,1475.13513513514
1336.4229499521,1271.95342548402,1230.02445581277,1474.86486486487
1335.36284712155,1271.1218687202,1230.02212631952,1474.59459459459
1334.3133029964,1270.3067942015,1230.02001871785,1474.32432432432
1333.27421241114,1269.50787523416,1230.01811187188,1474.05405405405
1332.24547124772,1268.72479159979,1230.016386659,1473.78378378378
1331.2269764251,1267.95722942707,1230.01482577809,1473.51351351351
1330.21862588893,1267.20488106586,1230.013413576,1473.24324324324
1329.22031860136,1266.46744496398,1230.01213589061,1472.97297297297
1328.23195453085,1265.74462554626,1230.01097990878,1472.7027027027
1327.2534346422,1265.03613309616,1230.00993403786,1472.43243243243
1326.28466088661,1264.34168363954,1230.00898778944,1472.16216216216
1325.32553619184,1263.66099883095,1230.00813167417,1471.89189189189
1324.37596445251,1262.99380584199,1230.00735710658,1471.62162162162
1323.43585052045,1262.33983725195,1230.00665631899,1471.35135135135
1322.50510019517,1261.69883094071,1230.00602228363,1471.08108108108
1321.58362021444,1261.07052998357,1230.00544864213,1470.81081081081
1320.67131824491,1260.45468254834,1230.00492964179,1470.54054054054
1319.76810287289,1259.8510417944,1230.00446007788,1470.27027027027
1318.87388359517,1259.25936577371,1230.0040352414,1470
1317.98857080996,1258.6794173339,1230.00365087194,1469.72972972973
1317.11207580792,1258.11096402317,1230.00330311488,1469.45945945946
1316.24431076325,1257.55377799715,1230.00298848278,1469.18918918919
1315.3851887249,1257.00763592754,1230.00270382037,1468.91891891892
1314.53462360787,1256.47231891263,1230.00244627296,1468.64864864865
1313.69253018456,1255.94761238957,1230.00221325775,1468.37837837838
1312.85882407627,1255.43330604831,1230.00200243798,1468.10810810811
1312.03342174468,1254.92919374737,1230.00181169945,1467.83783783784
1311.21624048355,1254.43507343119,1230.00163912937,1467.56756756757
1310.40719841039,1253.95074704914,1230.00148299713,1467.2972972973
1309.60621445826,1253.47602047614,1230.00134173698,1467.02702702703
1308.81320836765,1253.01070343485,1230.0012139323,1466.75675675676
1308.02810067846,1252.55460941941,1230.00109830142,1466.48648648649
1307.25081272199,1252.10755562069,1230.00099368475,1466.21621621622
1306.48126661313,1251.66936285301,1230.00089903315,1465.94594594595
1305.71938524246,1251.2398554823,1230.00081339741,1465.67567567568
1304.96509226861,1250.81886135575,1230.00073591874,1465.40540540541
